MODEL_ID,MODEL_NAME,MODEL_TYPE,MODEL_CLASS,COMPONENT_ID,WEIGHTED
1,PI009 (1st Stage Discharge Press),CONDITION,MACHINE_LEARNING,2,10
2,PI010 (2nd Stage Suction Press),CONDITION,MACHINE_LEARNING,2,10
3,TI010 (1st Stage Discharge Temp),CONDITION,MACHINE_LEARNING,2,10
4,PIA012 (GG IP Compr  Discharge),CONDITION,MACHINE_LEARNING,4,10
5,PIA013 (GG HP Comp. Discharge),CONDITION,MACHINE_LEARNING,4,10
6,TI017A1 (GG Exhaust Temp1A(ECS)),CONDITION,MACHINE_LEARNING,4,10
7,TI017A11 (GG Exhaust Temp11A(ECS)),CONDITION,MACHINE_LEARNING,4,10
8,TI017A12 (GG Exhaust Temp12A(ECS)),CONDITION,MACHINE_LEARNING,4,10
9,TI017A13 (GG Exhaust Temp13A(ECS)),CONDITION,MACHINE_LEARNING,4,10
10,TI017A14 (GG Exhaust Temp14A(ECS)),CONDITION,MACHINE_LEARNING,4,10
11,TI017A15 (GG Exhaust Temp15A(ECS)),CONDITION,MACHINE_LEARNING,4,10
12,TI017A16 (GG Exhaust Temp16A(ECS)),CONDITION,MACHINE_LEARNING,4,10
13,TI017A17 (GG Exhaust Temp17A(ECS)),CONDITION,MACHINE_LEARNING,4,10
14,TI017A2 (GG Exhaust Temp2A(ECS)),CONDITION,MACHINE_LEARNING,4,10
15,TI017A3 (GG Exhaust Temp3A(ECS)),CONDITION,MACHINE_LEARNING,4,10
16,TI017A4 (GG Exhaust Temp4A(ECS)),CONDITION,MACHINE_LEARNING,4,10
17,TI017A5 (GG Exhaust Temp5A(ECS)),CONDITION,MACHINE_LEARNING,4,10
18,TI017A6 (GG Exhaust Temp6A(ECS)),CONDITION,MACHINE_LEARNING,4,10
19,TI017A7 (GG Exhaust Temp7A(ECS)),CONDITION,MACHINE_LEARNING,4,10
20,TI017A8 (GG Exhaust Temp8A(ECS)),CONDITION,MACHINE_LEARNING,4,10
21,TI017A9 (GG Exhaust Temp9A(ECS)),CONDITION,MACHINE_LEARNING,4,10
22,TI017B1 (GG Exhaust Temp1B(ECS)),CONDITION,MACHINE_LEARNING,4,10
23,TI017B10 (GG Exhaust Temp10B(ECS)),CONDITION,MACHINE_LEARNING,4,10
24,TI017B11 (GG Exhaust Temp11B(ECS)),CONDITION,MACHINE_LEARNING,4,10
25,TI017B12 (GG Exhaust Temp12B(ECS)),CONDITION,MACHINE_LEARNING,4,10
26,TI017B13 (GG Exhaust Temp13B(ECS)),CONDITION,MACHINE_LEARNING,4,10
27,TI017B14 (GG Exhaust Temp14B(ECS)),CONDITION,MACHINE_LEARNING,4,10
28,TI017B15 (GG Exhaust Temp15B(ECS)),CONDITION,MACHINE_LEARNING,4,10
29,TI017B16 (GG Exhaust Temp16B(ECS)),CONDITION,MACHINE_LEARNING,4,10
30,TI017B17 (GG Exhaust Temp17B(ECS)),CONDITION,MACHINE_LEARNING,4,10
31,TI017B2 (GG Exhaust Temp17B(ECS)),CONDITION,MACHINE_LEARNING,4,10
32,TI017B3 (GG Exhaust Temp3B(ECS)),CONDITION,MACHINE_LEARNING,4,10
33,TI017B5 (GG Exhaust Temp5B(ECS)),CONDITION,MACHINE_LEARNING,4,10
34,TI017B6 (GG Exhaust Temp6B(ECS)),CONDITION,MACHINE_LEARNING,4,10
35,TI017B7 (GG Exhaust Temp7B(ECS)),CONDITION,MACHINE_LEARNING,4,10
36,TI017B8 (GG Exhaust Temp8B(ECS)),CONDITION,MACHINE_LEARNING,4,10
37,TI017B9 (GG Exhaust Temp9B(ECS)),CONDITION,MACHINE_LEARNING,4,10
38,TIA017C (GG Exhaust Average TempC),CONDITION,MACHINE_LEARNING,4,10
39,PDV542 (Primary Supply Valve),CONDITION,MACHINE_LEARNING,8,10
40,TI011A (GG Comb.Inlet Temp1(ECS)),PERFORMANCE,MACHINE_LEARNING,4,10
41,TI012A (GG Comb.Inlet Temp4(ECS)),PERFORMANCE,MACHINE_LEARNING,4,10
42,TI013A (GG Comb.Inlet Temp7(ECS)),PERFORMANCE,MACHINE_LEARNING,4,10
43,TIA016A (GG 05 Module Temp A),PERFORMANCE,MACHINE_LEARNING,4,10
44,TIA016B (GG 05 Module Temp B),PERFORMANCE,MACHINE_LEARNING,4,10
45,TIA016C (GG 05 Module Temp C),PERFORMANCE,MACHINE_LEARNING,4,10
46,XIXA002 (PT DE X Vibration),CONDITION,MACHINE_LEARNING,7,10
47,XIYA001 (PT NDE Y Vibration),CONDITION,MACHINE_LEARNING,7,10
48,PIA017 (Aux.Air Supply Press) ,CONDITION,INDIVIDUAL,1,10
49,PIA025 (F.G.Primary Supply Press),CONDITION,INDIVIDUAL,3,10
50,PIA027 (F.G.Secondary Supply),CONDITION,INDIVIDUAL,3,10
51,TI026A (Fuel Gas Reg.TempA (ECS)) ,CONDITION,INDIVIDUAL,3,10
52,TI026B (Fuel Gas Reg.TempB (ECS)),CONDITION,INDIVIDUAL,3,10
53,PDI011 (GT Inlet Cooling Air dP),CONDITION,INDIVIDUAL,1,10
54,PDIA003 (1st Suction Filter dP),CONDITION,INDIVIDUAL,2,10
