MODEL_ID,MODEL_NAME,MODEL_TYPE,MODEL_CLASS,COMPONENT_ID,WEIGHTED
1,Front_Bear_Temp(Generator bearing temperature DE),CONDITION,INDIVIDUAL,1,
2,Rear_Bear_Temp(Generator bearing temperature NDE),CONDITION,INDIVIDUAL,1,
3,TotalKVAR(Total reactive power),CONDITION,INDIVIDUAL,1,
4,VoltageL1L2(Generator voltage phase A),CONDITION,INDIVIDUAL,1,
5,VoltageL2L3(Generator voltage phase B),CONDITION,INDIVIDUAL,1,
6,VoltageL3L1(Generator voltage phase C),CONDITION,INDIVIDUAL,1,
7,PowerFactor(Generator power factor),CONDITION,INDIVIDUAL,1,
8,PF_Lagging(Power factor lead/Lag status),CONDITION,INDIVIDUAL,1,
9,Frequency(Generator frequency ),CONDITION,INDIVIDUAL,1,
10,AVG_LN_AC_RMS_Voltage(Average Line -Netural AC Voltage),CONDITION,INDIVIDUAL,1,
11,BALANCE_VOLTAGE_PHASE,CONDITION,INDIVIDUAL,1,
12,BALANCE_CURRENT_PHASE,CONDITION,INDIVIDUAL,1,
13,BAND2X(Vibration NDE Gen Band 2x),CONDITION,INDIVIDUAL,1,
14,BAND4X(Vibration NDE Gen Band 4x),CONDITION,INDIVIDUAL,1,
15,BAND2X(Vibration DE Gen Band 2x),CONDITION,INDIVIDUAL,1,
16,BAND4X(Vibration DE Gen Band 4x),CONDITION,INDIVIDUAL,1,
17,Generator bearing temperature NDE vs. Vibration NDE Gen overall,CONDITION,CLASSIFICATION,1,
18,Generator bearing temperature DE vs. Vibration DE Gen overall,CONDITION,CLASSIFICATION,1,
19,TotalKW(Generator Load),PERFORMANCE,MACHINE_LEARNING,1,
20,BAND2X(Vibration Radiator fan Band 2x),CONDITION,INDIVIDUAL,2,
21,BAND4X(Vibration Radiator fan Band 4x),CONDITION,INDIVIDUAL,2,
22,VELOCITY(Vibration Radiator fan overall),CONDITION,INDIVIDUAL,2,
23,Coolant temperature_LB vs. Engine Oil temperature,CONDITION,CLASSIFICATION,2,
24,Coolant temperature_RB vs. Engine Oil temperature,CONDITION,CLASSIFICATION,2,
25,AVG_ALL_CYLINDER(Max diff avg exhusat temp. of all cylinder),CONDITION,INDIVIDUAL,3,
26,Oil_filter_Diff(Engine Oil Filter Pressure),CONDITION,INDIVIDUAL,3,
27,Crankcase_Pressure(Crankcase pressure),CONDITION,INDIVIDUAL,3,
28,Air_filter1_Diff(Inlet air restriction),CONDITION,INDIVIDUAL,3,
29,Fuel_Pressure(Engine fuel pressure),CONDITION,INDIVIDUAL,3,
30,Fuel_filter_Diff(Engine fuel filter differential Pressure),CONDITION,INDIVIDUAL,3,
31,OilPressure(Engine oil pressure (Header)),CONDITION,INDIVIDUAL,3,
32,BAND2X(Vibration NDE engine Band 2x),CONDITION,INDIVIDUAL,3,
33,BAND4X(Vibration NDE engine Band 4x),CONDITION,INDIVIDUAL,3,
34,BAND2X(Vibration DE engine Band 2x),CONDITION,INDIVIDUAL,3,
35,BAND4X(Vibration DE engine Band 4x),CONDITION,INDIVIDUAL,3,
36,Cylinder TEMP 2 LB vs. Intake manifold temperature,CONDITION,CLASSIFICATION,3,
37,Cylinder TEMP 4 LB vs. Intake manifold temperature,CONDITION,CLASSIFICATION,3,
38,Cylinder TEMP 6 LB vs. Intake manifold temperature,CONDITION,CLASSIFICATION,3,
39,Cylinder TEMP 8 LB vs. Intake manifold temperature,CONDITION,CLASSIFICATION,3,
40,Cylinder TEMP 10 LB vs. Intake manifold temperature,CONDITION,CLASSIFICATION,3,
41,Cylinder TEMP 12 LB vs. Intake manifold temperature,CONDITION,CLASSIFICATION,3,
42,Cylinder TEMP 14 LB vs. Intake manifold temperature,CONDITION,CLASSIFICATION,3,
43,Cylinder TEMP 16 LB vs. Intake manifold temperature,CONDITION,CLASSIFICATION,3,
44,Cylinder TEMP 1 RB vs. Intake manifold temperature,CONDITION,CLASSIFICATION,3,
45,Cylinder TEMP 3 RB vs. Intake manifold temperature,CONDITION,CLASSIFICATION,3,
46,Cylinder TEMP 5 RB vs. Intake manifold temperature,CONDITION,CLASSIFICATION,3,
47,Cylinder TEMP 7 RB vs. Intake manifold temperature,CONDITION,CLASSIFICATION,3,
48,Cylinder TEMP 9 RB vs. Intake manifold temperature,CONDITION,CLASSIFICATION,3,
49,Cylinder TEMP 11 RB vs. Intake manifold temperature,CONDITION,CLASSIFICATION,3,
50,Cylinder TEMP 13 RB vs. Intake manifold temperature,CONDITION,CLASSIFICATION,3,
51,Cylinder TEMP 15 RB vs. Intake manifold temperature,CONDITION,CLASSIFICATION,3,
52,Intake manifold temperature vs. Coolant temperature_LB,CONDITION,CLASSIFICATION,3,
53,Intake manifold temperature vs. Coolant temperature_RB,CONDITION,CLASSIFICATION,3,
54,Vibration NDE engine overall vs. average all Cylinder,CONDITION,CLASSIFICATION,3,
55,Vibration DE engine overall vs. average all Cylinder,CONDITION,CLASSIFICATION,3,
56,AVG_ALL_CYLINDER(Max diff avg exhusat temp. of all cylinder),PERFORMANCE,MACHINE_LEARNING,3,
